Place Player Rating Mu Sigma #Matches #Forfeits
319 kariohki 13.771 16.509 1.826 10 5
320 shadowxchief 13.542 16.737 2.13 6 1
321 peterafro 13.282 16.02 1.826 8 4
322 theunoriginalname 13.136 15.029 1.262 16 11
323 cosbrowright 12.903 15.598 1.797 7 4
324 robthegamer117 12.73 15.231 1.667 8 3
325 FlipSide208 12.527 15.51 1.989 6 4
326 xcd 12.287 16.074 2.525 6 6
327 tiernajac 11.911 14.28 1.58 13 6
328 Bigpumkin 11.47 14.113 1.762 7 5
329 avaruusnuija 11.423 15.287 2.575 6 3
